"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C9,C10","100nF","~","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","9",""
"C8","10nF","~","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","1",""
"C11","220nF","~","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","1",""
"C12","47nF","~","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","1",""
"D1","A0","~","Retro:LED_1206_3216-EDIT","1",""
"D2","A1","~","Retro:LED_1206_3216-EDIT","1",""
"D3","A2","~","Retro:LED_1206_3216-EDIT","1",""
"D4","A3","~","Retro:LED_1206_3216-EDIT","1",""
"D5","A4","~","Retro:LED_1206_3216-EDIT","1",""
"D6","A5","~","Retro:LED_1206_3216-EDIT","1",""
"D7","A6","~","Retro:LED_1206_3216-EDIT","1",""
"D8","A7","~","Retro:LED_1206_3216-EDIT","1",""
"D9","D0","~","Retro:LED_1206_3216-EDIT","1",""
"D10","D1","~","Retro:LED_1206_3216-EDIT","1",""
"D11","D2","~","Retro:LED_1206_3216-EDIT","1",""
"D12","D3","~","Retro:LED_1206_3216-EDIT","1",""
"D13","D4","~","Retro:LED_1206_3216-EDIT","1",""
"D14","D5","~","Retro:LED_1206_3216-EDIT","1",""
"D15","D6","~","Retro:LED_1206_3216-EDIT","1",""
"D16","D7","~","Retro:LED_1206_3216-EDIT","1",""
"D17","/RD","~","Retro:LED_1206_3216-EDIT","1",""
"D18","/WR","~","Retro:LED_1206_3216-EDIT","1",""
"D19","/MREQ","~","Retro:LED_1206_3216-EDIT","1",""
"D20","/IORQ","~","Retro:LED_1206_3216-EDIT","1",""
"D21","/ROMCS","~","Retro:LED_1206_3216-EDIT","1",""
"D22","A14","~","Retro:LED_1206_3216-EDIT","1",""
"D23","/M1","~","Retro:LED_1206_3216-EDIT","1",""
"D24","A15","~","Retro:LED_1206_3216-EDIT","1",""
"D25","+9V","~","Retro:LED_1206_3216-EDIT","1",""
"D26","+12V","~","Retro:LED_1206_3216-EDIT","1",""
"D27","+5V","~","Retro:LED_1206_3216-EDIT","1",""
"D28","-5V","~","Retro:LED_1206_3216-EDIT","1",""
"D29","/NMI","~","Retro:LED_1206_3216-EDIT","1",""
"D30","/RESET","~","Retro:LED_1206_3216-EDIT","1",""
"DZ1","1EZ8.2","https://www.tme.eu/Document/e06f42864dd0cbfef15288985fa21c49/1EZxx_ser.pdf","SOD-80:TZMB3V3GS08","1",""
"J1","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J4,J5","Conn_01x28_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x28_P2.54mm_Vertical","2",""
"Q1,Q4,Q5","BSS84","https://www.tme.eu/Document/9e18544e3c24e82da23d9bbccfec4cfd/BSS84-FAI-DTE.pdf","Package_TO_SOT_SMD:SOT-23","3",""
"Q2","BSS138","https://www.tme.eu/Document/2b32cdd3c66afedbcd628e73d93ae817/BSS138-7-F.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"Q3","BC846","https://assets.nexperia.cn/documents/data-sheet/BC846_SER.pdf","Package_TO_SOT_SMD:SOT-23","1",""
"R1","330R","~","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","1",""
"R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R37,R39,R40","2K2","~","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","29",""
"R28,R29","4K7","~","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","2",""
"R30,R31,R34,R35,R36,R38","10K","~","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","6",""
"R32","330K","~","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","1",""
"R33","100K","~","PCM_Resistor_SMD_AKL:R_0805_2012Metric_Pad1.15x1.40mm","1",""
"SW1","SW_DIP_x02","~","Retro:DS01254S02BE","1",""
"SW2,SW3","SW_Push_SPDT","~","Button_Switch_THT:SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250","2",""
"SW4,SW5,SW6","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","3",""
"TP1,TP2","TestPoint_2Pole","~","TestPoint:TestPoint_Bridge_Pitch2.54mm_Drill1.0mm","2",""
"TP3,TP4","TestPoint_Probe","~","TestPoint:TestPoint_Pad_D1.5mm","2",""
"TP5","+5v","~","TestPoint:TestPoint_Pad_D1.5mm","1",""
"TP6","-5v","~","TestPoint:TestPoint_Pad_D1.5mm","1",""
"U1","27C512","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf","Package_DIP:DIP-28_W15.24mm","1",""
"U2","74HCT32","http://www.ti.com/lit/gpn/sn74LS32","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","1",""
"U3","NE555PSR","http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf","NE555PSR:PS8","1",""
"U4","74LS138","http://www.ti.com/lit/gpn/sn74LS138","PCM_Package_SO_AKL:SOIC-16_3.9x9.9mm_P1.27mm","1",""
"U5","74HC1G66","https://assets.nexperia.com/documents/data-sheet/74HC_HCT1G66.pdf","PCM_Package_TO_SOT_SMD_AKL:SOT-353_SC-70-5","1",""
"U6,U7,U8,U9","74LS273","http://www.ti.com/lit/gpn/sn74LS273","Package_SO:SOP-20_7.5x12.8mm_P1.27mm","4",""
